DATE,CSUSHPINSA
2017-08-01,194.458
2017-09-01,194.933
2017-10-01,195.201
2017-11-01,195.57
2017-12-01,195.97
2018-01-01,196.24099999999999
2018-02-01,197.032
2018-03-01,198.696
2018-04-01,200.729
2018-05-01,202.57299999999998
2018-06-01,204.167
2018-07-01,205.08700000000002
2018-08-01,205.47099999999998
2018-09-01,205.53400000000002
2018-10-01,205.542
2018-11-01,205.294
2018-12-01,204.894
2019-01-01,204.41299999999998
2019-02-01,204.65200000000002
2019-03-01,205.997
2019-04-01,207.90900000000002
2019-05-01,209.56599999999997
2019-06-01,210.82
2019-07-01,211.577
2019-08-01,211.937
2019-09-01,212.09900000000002
2019-10-01,212.178
2019-11-01,212.30200000000002
2019-12-01,212.382
2020-01-01,212.33900000000003
2020-02-01,213.15900000000002
